trialJobId,default,-latency,-dram,search_k,recall,n_trees
J5W12,-0.10946462066756356,-1.6572447816530864,-2445.5182291666665,500,0.5765333333333333,80
mt5sO,-0.0997470475917392,-1.7218994696935017,-2458.7223307291665,600,0.6036583333333335,80
o041f,-0.0894236184003618,-1.7851660052935283,-2470.3616536458335,700,0.6315166666666666,80
lOcSc,-0.08349407124731277,-2.075877090295156,-2478.517578125,800,0.6515916666666667,80
j5PS9,-0.07592823146290248,-2.2508303920427957,-2480.6949869791665,900,0.6717750000000001,80
RQ2y4,-0.07116650103145174,-2.2751811941464744,-2484.6201171875,1000,0.6841333333333335,80
PgWuK,-0.056752521769205755,-3.1165390014648438,-2493.013671875,1500,0.7328749999999999,80
bLtCU,-0.049671629103554604,-3.6878284414609275,-2531.3688151041665,2000,0.7691166666666667,80
Ji5ix,-0.04280967454804315,-4.228772898515065,-2531.7633463541665,2500,0.7923083333333333,80
bO7DZ,-0.0371152871682909,-4.78208331267039,-2520.8102213541665,3000,0.8100083333333332,80
mH9zG,-0.03771998025576274,-5.457063734531403,-2541.4176432291665,3500,0.8245416666666667,80
OdtEc,-0.041896664201948396,-6.860473354657491,-2542.6494140625,4000,0.8362333333333333,80
KfhMa,-0.0368762741639879,-6.587476174036662,-2547.3955078125,4500,0.8443,80
wURqw,-0.04104955764346652,-7.703077872594197,-2553.7294921875,5000,0.8531666666666667,80
N4H9a,-0.03948922129101225,-7.867509643236796,-2556.0914713541665,5500,0.8595583333333333,80
vFixD,-0.03691547058953179,-7.719631989796956,-2570.5283203125,6000,0.8674583333333333,80
LXNne,-0.03393234683884514,-8.087803502877554,-2554.763671875,6500,0.8748833333333333,80
LllzZ,-0.03669698195669387,-8.430308600266775,-2578.6266276041665,7000,0.88105,80
X5Uge,-0.04219278427547877,-9.671780983606974,-2579.4332682291665,7500,0.88745,80
TWyuZ,-0.05290734795782301,-11.685915609200796,-2570.1627604166665,8000,0.8908666666666667,80
MhNUP,-0.07553543013572699,-15.188237249851227,-2575.859375,8500,0.8939,80
ftcrC,-0.04131013934771221,-10.609588086605072,-2561.4462890625,9000,0.8981,80
FSl0Y,-0.04209598502265081,-10.879562060038248,-2567.4557291666665,9500,0.9021333333333335,80
FVpn1,-0.04289206212255689,-11.20774640639623,-2572.3782552083335,10000,0.9067666666666665,80
gUBqf,-0.12735404228316413,-13.421973089377085,-2598.4606119791665,-1,0.7038416666666666,90
n4Ocl,-0.2363118012046814,-4.693654656410217,-2506.0950520833335,50,0.33747499999999997,90
u0tFM,-0.18621001050207353,-0.9878744085629781,-2533.3359375,100,0.40854166666666664,90
aIjlB,-0.15885005780220035,-1.1256877779960632,-2529.6676432291665,200,0.47822499999999996,90
KF8y9,-0.14139206186082628,-1.2775279680887859,-2528.9951171875,300,0.524675,90
OsEVQ,-0.12796253127098087,-1.4172735810279846,-2522.9306640625,400,0.5584833333333334,90
XDHZp,-0.12046261753082277,-1.6746289730072021,-2529.5804036458335,500,0.5834000000000001,90
VJnkJ,-0.11317133375909594,-1.8240955869356792,-2552.1634114583335,600,0.6084833333333335,90
coEtE,-0.10313603435622322,-1.9173034230868022,-2562.8020833333335,700,0.6352083333333335,90
RY1Ye,-0.09739409818013511,-2.0696215629577637,-2581.1988932291665,800,0.6556833333333333,90
D4vac,-0.08757475201606753,-2.1882259249687195,-2567.0524088541665,900,0.6749916666666667,90
S7PQv,-0.08533022850990295,-2.2964558005332947,-2583.4147135416665,1000,0.6864,90
irndF,-0.07251624756389191,-3.0222735603650412,-2604.5572916666665,1500,0.7333333333333334,90
IW43Q,-0.05929632296350268,-3.5477062265078225,-2604.884765625,2000,0.7713666666666666,90
FD5GK,-0.054106798307630766,-4.133457978566487,-2622.1188151041665,2500,0.79645,90
ZrQUg,-0.0518441086578369,-4.6325907707214355,-2639.1822916666665,3000,0.8135499999999999,90
oKjl4,-0.04844194515122308,-5.180911203225453,-2636.49609375,3500,0.8280666666666666,90
TY6Pp,-0.04557956642044916,-5.6796955068906145,-2636.0514322916665,4000,0.8413333333333335,90
ry1s6,-0.04667162646187675,-6.245319088300069,-2639.3248697916665,4500,0.8475000000000001,90
K7Ork,-0.04767641197734409,-6.812482853730519,-2648.494140625,5000,0.8561,90
jFyFl,-0.04874770297792225,-7.319427053133647,-2650.33984375,5500,0.8613666666666666,90
agxH3,-0.04873959885491267,-7.694463570912679,-2654.7102864583335,6000,0.8679916666666667,90
CK5OV,-0.04989169027116563,-8.101404587427774,-2664.9619140625,6500,0.8741916666666668,90
XdZ98,-0.05175607772403295,-8.747690757115683,-2667.7532552083335,7000,0.8802500000000001,90
yt7Sb,-0.05203462983873156,-9.276446978251139,-2661.4013671875,7500,0.8856499999999999,90
nROFL,-0.0569029970349206,-10.135386963685354,-2675.2789713541665,8000,0.8915500000000001,90
xtvJ0,-0.05815903184996713,-10.66355703274409,-2668.236328125,8500,0.8940749999999998,90
JrWcf,-0.08288126583629184,-14.446323176225027,-2675.9986979166665,9000,0.8973333333333332,90
TpVAL,-0.0818972937319014,-14.555879612763723,-2673.724609375,9500,0.9003333333333332,90
aHSmV,-0.07751532400661044,-14.190654893716177,-2673.5325520833335,10000,0.9047999999999998,90
tI2Vc,-0.15989090178383722,-21.575774133205414,-2690.8359375,-1,0.7168583333333333,100
y0cAd,-0.2501139772362179,-9.743526438872019,-2589.455078125,50,0.3401666666666667,100
tR4I1,-0.20030610697004533,-1.0620628197987874,-2628.8004557291665,100,0.411375,100
taBvQ,-0.17398391614702013,-1.2536553541819255,-2628.53515625,200,0.48105000000000003,100
Oetlb,-0.15684054465187922,-1.4789995749791462,-2625.2669270833335,300,0.5269333333333334,100
W1dur,-0.14573750009218853,-1.6306896805763245,-2637.716796875,400,0.5610916666666668,100
kji9L,-0.13517458580758837,-1.6878816882769268,-2635.59375,500,0.5873916666666666,100
q5Xnk,-0.1268019118817647,-1.9690948724746704,-2642.548828125,600,0.6123666666666668,100
Wr5kM,-0.11806001396814984,-2.1077204942703247,-2655.6813151041665,700,0.6374000000000001,100
IsZ6l,-0.10902463020854525,-2.1995535095532737,-2650.3938802083335,800,0.6572749999999999,100
A8s3Y,-0.10538329080687629,-2.6409191886583963,-2671.3190104166665,900,0.6783,100
pyiIC,-0.10357611191219752,-3.0396246115366616,-2680.0960286458335,1000,0.6903833333333332,100
iRlzq,-0.08474955345365738,-3.1057345469792685,-2689.5823567708335,1500,0.7373999999999999,100
OCmTp,-0.07544683469878304,-3.7296554843584695,-2708.3541666666665,2000,0.7726333333333334,100
xsTOu,-0.07293016513400609,-4.902901967366536,-2722.3089192708335,2500,0.7997166666666665,100
vaT4g,-0.07820492147657608,-6.463105042775472,-2737.0237630208335,3000,0.8145333333333333,100
M7Xxg,-0.07177095558378432,-6.625133236249288,-2733.9772135416665,3500,0.829875,100
Zf3Pk,-0.07615847100045943,-7.833189229170482,-2751.4202473958335,4000,0.8424333333333333,100
WmWR5,-0.08252136383162606,-9.620783905188242,-2742.6875,4500,0.8510666666666666,100
pNJ0e,-0.0708374342113071,-8.051857670148214,-2760.4189453125,5000,0.8582666666666666,100
